start_time,user_ip,dest_ip,user_port,dest_port,host,start_time_long,day
2017-03-27T12:20:27.000+04:30,100.113.59.168,188.43.76.73,34628,80,weather.service.msn.com,1490601027,2017-03-27
2017-03-27T12:20:30.000+04:30,100.80.28.118,23.211.101.51,51742,80,cdn.content.prod.cms.msn.com,1490601030,2017-03-27
2017-03-27T12:20:30.000+04:30,100.80.28.118,23.211.101.51,51741,80,cdn.content.prod.cms.msn.com,1490601030,2017-03-27
2017-03-27T12:20:32.000+04:30,100.102.200.18,2.18.213.24,60656,80,weather.service.msn.com,1490601032,2017-03-27
2017-03-27T12:20:33.000+04:30,100.88.17.41,104.125.66.81,1062,80,en-us.appex-rf.msn.com,1490601033,2017-03-27
2017-03-27T12:20:35.000+04:30,10.205.23.85,23.211.101.51,49455,80,cdn.content.prod.cms.msn.com,1490601035,2017-03-27
2017-03-27T12:20:37.000+04:30,100.91.112.143,23.211.101.51,49924,80,cdn.content.prod.cms.msn.com,1490601037,2017-03-27
2017-03-27T12:20:38.000+04:30,100.81.160.40,104.125.66.81,49166,80,en-US.appex-rf.msn.com,1490601038,2017-03-27
2017-03-27T12:20:38.000+04:30,100.91.70.122,23.211.101.51,57738,80,cdn.content.prod.cms.msn.com,1490601038,2017-03-27
2017-03-27T12:20:40.000+04:30,100.81.160.40,104.125.66.81,49168,80,en-US.appex-rf.msn.com,1490601040,2017-03-27
2017-03-27T12:20:40.000+04:30,100.82.40.52,2.19.240.28,49415,80,cdn.content.prod.cms.msn.com,1490601040,2017-03-27
2017-03-27T12:20:40.000+04:30,100.82.40.52,2.19.240.28,49415,80,cdn.content.prod.cms.msn.com,1490601040,2017-03-27
2017-03-27T12:20:50.000+04:30,100.102.200.18,2.18.213.24,60656,80,weather.service.msn.com,1490601050,2017-03-27
2017-03-27T12:20:53.000+04:30,100.102.200.18,2.18.213.49,45163,80,weather.service.msn.com,1490601053,2017-03-27
2017-03-27T12:20:54.000+04:30,100.89.226.171,188.43.73.91,38859,80,weather.service.msn.com,1490601054,2017-03-27
2017-03-27T12:21:01.000+04:30,10.161.249.250,104.125.12.52,49420,80,cdn.content.prod.cms.msn.com,1490601061,2017-03-27
2017-03-27T12:21:02.000+04:30,100.81.135.93,192.168.194.73,51103,8080,weather.service.msn.com,1490601062,2017-03-27
2017-03-28T12:18:01.000+04:30,100.81.135.93,192.168.194.73,55215,8080,weather.service.msn.com,1490687281,2017-03-28
2017-03-28T12:18:02.000+04:30,100.81.135.93,192.168.194.73,56056,8080,weather.service.msn.com,1490687282,2017-03-28
2017-03-28T12:18:03.000+04:30,100.81.135.93,192.168.194.73,42320,8080,weather.service.msn.com,1490687283,2017-03-28
2017-03-28T12:19:03.000+04:30,100.81.135.93,192.168.194.73,42320,8080,weather.service.msn.com,1490687343,2017-03-28
2017-03-28T12:20:05.000+04:30,100.81.135.93,192.168.194.73,42320,8080,weather.service.msn.com,1490687405,2017-03-28
